hours wage educ age children
1476 32997 2 24 0
737 38333 3 30 4
0 0 1 35 4
969 90149 2 50 2
0 0 1 33 3
0 0 2 43 10
1293 38162 2 31 0
0 0 2 50 2
748 5893 2 19 0
1045 70254 3 48 1
589 29805 2 28 1
87 28615 2 50 0
793 45005 2 29 2
2095 90619 2 51 0
0 0 1 40 1
1556 42443 2 24 0
680 53230 2 49 1
0 0 1 52 6
0 0 2 28 2
694 58082 3 29 4
0 0 1 42 3
1590 29552 2 20 0
1491 38962 3 19 0
731 46365 2 48 0
1869 101104 3 46 0
421 16622 1 22 1
763 3663 2 30 0
314 83505 2 43 4
140 26946 2 49 1
778 56322 2 22 2
1430 55118 2 55 0
0 0 1 52 2
0 0 1 48 2
1388 29097 3 34 0
0 0 2 57 1
125 42472 2 40 2
1001 15134 1 25 0
0 0 2 50 3
1903 68532 2 27 1
920 34331 2 61 0
0 0 1 51 2
0 0 1 31 4
2328 127249 3 48 1
1804 87164 2 51 0
2428 69337 3 22 0
2263 77205 3 27 0
1925 38436 2 32 0
740 40574 2 30 2
580 65557 1 52 3
1042 73863 3 38 2
346 12951 1 56 0
968 19808 2 19 0
1247 51788 2 27 2
1915 56426 3 30 0
1456 51886 2 18 0
514 17146 3 27 1
0 0 2 52 3
118 5845 2 33 1
1649 65165 3 20 1
448 37659 2 51 1
1405 35523 2 26 0
0 0 1 18 0
352 15020 1 37 1
1748 75823 3 29 0
2331 117842 3 53 0
822 13162 2 23 1
1993 59209 3 25 0
0 0 2 43 3
1584 31800 2 28 0
0 0 1 21 1
0 0 2 22 3
976 15252 2 20 0
2276 132077 3 58 2
764 70762 2 48 2
1839 99765 2 50 0
895 92779 3 38 4
1264 66577 3 53 1
469 61795 2 53 2
1158 24721 2 59 0
1818 51864 3 19 0
1983 57167 2 27 1
697 26031 1 27 1
2567 71714 3 24 0
1067 66406 2 49 1
301 13270 2 38 2
0 0 1 30 2
0 0 2 43 5
0 0 1 20 0
0 0 2 53 10
1043 24847 2 38 0
3139 120595 3 64 0
1820 92897 3 52 0
1759 49948 3 25 0
2527 103955 3 31 1
366 48242 2 48 1
1333 77805 3 47 0
0 0 2 42 2
2007 59989 3 34 0
0 0 1 57 2
1597 67805 2 54 0
0 0 2 37 4
0 0 2 24 4
1733 90503 3 21 2
1204 47607 2 36 1
1711 116363 3 54 2
0 0 1 47 8
1298 77224 3 34 1
1103 92708 3 55 2
632 24954 2 19 1
0 0 2 55 2
494 32354 1 52 0
2632 93648 3 35 0
1727 70678 3 56 0
556 22016 2 38 0
0 0 2 48 0
73 9704 1 25 2
0 0 2 28 1
0 0 1 52 1
1100 35209 2 27 2
676 27137 2 19 1
1175 62705 2 19 2
1805 67045 2 22 0
0 0 2 43 6
2661 57059 3 25 0
512 793 2 29 0
472 12385 1 27 1
818 55598 2 47 1
1082 73692 2 52 0
1166 73016 2 53 0
1207 19690 2 24 0
805 72158 2 48 2
1096 13587 2 20 0
969 29614 3 27 1
1297 33267 2 18 0
388 7446 1 23 0
0 0 2 21 7
963 24542 1 25 0
991 16257 2 18 0
0 0 2 24 1
757 13669 1 18 0
679 24611 2 18 1
975 36836 2 26 1
725 26734 2 37 1
771 39046 3 19 2
0 0 1 34 2
8 4419 1 26 1
1315 40416 2 30 1
1880 82857 3 54 0
1371 24404 2 18 0
781 2157 2 19 1
0 0 2 53 0
1582 105065 2 47 2
570 55140 1 49 1
878 6421 3 26 0
0 0 1 46 3
0 0 1 30 3
1359 36206 2 25 1
1249 68553 3 30 2
1250 16420 3 26 0
372 61622 2 47 3
0 0 1 26 2
280 43058 2 35 3
1351 131082 3 50 4
0 0 1 23 3
487 63072 2 48 2
0 0 1 32 3
1982 117762 3 51 1
1186 84378 2 35 2
1605 91086 2 37 1
0 0 1 56 1
629 6167 2 28 1
2016 71233 3 18 0
1542 52348 1 37 1
1197 67629 3 35 0
13 1062 1 26 1
0 0 2 36 6
0 0 2 30 3
745 38744 2 52 0
0 0 2 46 8
1058 78826 3 51 1
0 0 2 45 4
0 0 1 46 1
2238 75821 2 23 0
288 52500 2 27 3
232 2253 2 18 1
303 25503 1 54 0
1377 46797 3 24 0
1652 58149 2 24 0
579 28272 2 25 2
0 0 2 42 6
1847 86599 3 55 1
1194 63043 3 56 1
0 0 1 31 4
2375 129691 3 46 1
737 13695 2 23 0
0 0 3 37 5
0 0 2 37 3
1272 49757 2 46 0
0 0 1 54 0
0 0 1 35 1
1495 68482 2 56 0
164 16915 2 24 2
843 36891 3 30 3
613 52153 2 52 1
672 84299 2 41 2
0 0 1 30 1
442 10258 1 23 1
192 41786 1 34 4
2181 76836 3 27 0
0 0 2 46 6
86 17202 2 54 0
1274 50747 2 48 0
0 0 2 21 2
2145 107027 3 50 0
236 35907 2 34 3
1425 39342 2 21 1
1083 92244 2 46 1
0 0 1 27 2
43 38733 2 42 2
499 30760 1 55 0
0 0 1 49 0
1870 82923 2 55 0
1786 60111 2 25 0
497 96884 3 40 5
0 0 2 37 2
0 0 1 18 1
389 29041 2 52 0
2253 88453 2 26 0
673 9816 1 23 0
1119 29025 2 33 1
0 0 1 32 9
2255 70750 3 27 0
2093 83661 3 28 1
2472 101172 3 35 0
660 19623 2 31 1
1147 62184 2 25 3
480 19723 2 58 0
1005 7917 2 22 0
2007 126749 3 52 1
1528 55882 3 48 0
2073 78417 2 25 1
656 24045 1 54 0
0 0 1 34 3
501 45936 1 55 2
824 28483 2 26 1
1697 92287 3 52 1
1376 35375 2 22 0
0 0 1 21 1
1062 46845 2 56 0
3227 123698 3 26 1
189 28161 2 47 1
0 0 3 37 4
458 23820 2 26 1
0 0 1 54 0
2008 124124 3 55 0
169 2026 1 27 2
1626 60411 3 31 1
1983 111992 3 56 0
1587 81731 2 51 0
533 3766 1 26 0
2060 83704 3 54 0
0 0 2 37 5
572 51877 2 50 0
2432 100577 3 43 1
664 47035 1 46 0
1824 64913 3 27 0
570 36642 3 24 3
170 34732 1 56 2
1771 102552 3 55 1
12 74892 2 51 4
168 5805 2 33 1
0 0 2 31 4
2543 127778 3 50 0
1711 42234 3 19 0
1583 86139 1 48 0
0 0 2 51 0
0 0 1 49 10
652 21259 2 19 1
1092 63516 2 52 1
812 41866 2 18 2
385 38161 1 51 1
2554 94167 3 25 1
633 48490 1 51 0
585 63083 3 37 4
1942 75709 2 25 0
1642 22889 2 23 0
1879 78946 3 36 0
420 45900 3 34 3
2528 117403 3 47 0
1606 63592 2 49 0
0 0 2 35 6
28 71830 2 42 5
1146 40537 2 25 0
2198 107780 2 54 0
788 22434 1 22 1
399 48317 2 49 2
1378 98300 3 27 3
788 13889 2 20 0
2509 124986 3 57 0
650 18588 2 27 2
1837 109866 3 57 1
2899 98321 3 25 0
1063 110948 3 51 2
1684 104691 3 48 1
2438 124065 3 54 0
1477 48307 2 30 1
1712 85479 3 51 0
1543 75739 2 48 0
0 0 1 31 0
0 0 1 49 5
1508 27957 3 23 0
193 56905 1 53 2
186 43286 1 50 0
598 29236 3 27 4
1644 22031 2 19 0
684 3601 2 24 1
0 0 2 49 9
1245 40339 3 33 0
132 3446 1 24 1
687 73847 1 53 3
0 0 2 24 0
702 45755 2 54 0
2080 95132 3 28 1
364 54053 1 40 1
0 0 2 56 3
0 0 2 20 3
604 61144 3 51 1
702 11524 2 32 1
0 0 2 60 7
1958 70716 2 23 0
1526 74341 2 49 0
0 0 2 43 6
512 10907 1 26 1
232 51316 2 46 2
326 25066 3 31 3
694 47796 1 57 1
0 0 1 56 2
499 34591 2 35 2
971 18230 2 34 1
1004 16145 2 25 0
0 0 1 52 3
0 0 1 18 4
19 14309 2 37 2
2649 104945 3 27 1
0 0 1 55 3
0 0 1 32 3
1055 46814 3 51 0
1267 86095 3 48 1
1366 20681 2 28 0
0 0 1 33 0
2943 97998 3 22 0
19 18493 2 21 3
601 26208 2 49 0
386 106463 3 53 4
0 0 2 52 2
1030 19382 2 18 1
1599 34665 3 19 0
692 4963 2 32 1
0 0 1 52 1
978 39506 2 50 0
1825 93048 3 51 0
1983 83462 3 33 0
0 0 1 38 1
1219 91773 2 57 2
0 0 2 41 7
2402 120580 3 48 0
1269 56002 2 50 0
0 0 1 21 1
0 0 1 29 1
507 4801 2 18 1
1382 35278 3 25 0
0 0 2 47 1
339 42182 1 18 3
0 0 2 26 2
0 0 1 19 2
0 0 1 35 3
394 14475 1 25 0
2463 86995 3 22 0
1734 112826 2 49 0
0 0 2 34 4
633 26930 2 31 2
1060 31340 2 28 1
0 0 3 27 2
529 96426 2 53 3
503 45817 2 33 3
2848 94804 3 31 0
2033 64375 3 26 0
328 43547 2 46 2
0 0 2 58 9
708 75972 1 46 2
1459 32910 2 20 0
1371 117383 3 46 4
432 17651 1 22 1
0 0 2 55 4
1411 57478 2 55 0
0 0 2 52 2
385 44386 2 46 1
1273 41555 3 24 1
469 22408 1 56 0
1293 54644 3 40 0
968 45496 3 30 1
0 0 2 36 3
975 58664 2 46 1
753 58376 2 51 1
858 67238 3 38 2
0 0 1 24 1
704 37862 2 56 0
320 40484 2 46 1
0 0 2 46 2
1580 92123 3 56 0
2015 70912 3 26 0
1495 97346 3 50 1
419 31743 2 56 0
1127 39352 3 65 0
758 36224 2 55 0
923 40570 2 22 2
1134 46435 3 27 1
1919 111616 3 25 3
1087 81618 2 51 1
393 31066 1 52 0
2140 70960 3 28 0
1299 50075 2 21 0
1034 68244 2 47 1
738 7671 2 66 0
420 68622 3 39 3
2082 107577 3 52 1
643 54693 2 52 1
403 56949 2 49 1
584 75290 2 51 3
1658 85063 3 56 1
746 30318 2 27 1
326 31612 3 55 0
0 0 1 54 2
0 0 2 34 3
370 40244 1 21 3
1024 33025 3 21 0
1347 53888 2 32 0
643 23795 2 51 1
2207 77010 2 18 0
1357 46753 2 57 0
952 9142 3 21 1
2116 50615 1 26 0
1627 84785 3 50 0
0 0 2 42 3
157 2903 2 29 2
1823 57734 2 26 1
894 26152 2 22 0
78 32295 2 52 0
0 0 1 27 0
411 6809 2 24 0
364 48830 1 54 0
463 14447 2 49 0
0 0 2 28 0
696 10897 2 27 2
784 64646 2 54 1
1422 46274 2 50 0
2328 72511 2 20 0
897 45697 1 46 1
837 45632 2 52 0
1246 30753 3 19 0
1345 17239 2 32 1
0 0 2 51 11
893 70493 2 32 4
330 100625 2 52 5
757 23945 3 19 1
922 25895 2 26 0
0 0 1 36 3
0 0 3 45 8
0 0 2 39 3
277 63523 2 40 3
1495 39465 2 27 0
675 39283 2 34 1
1119 82248 2 49 1
1154 89476 3 49 1
0 0 1 32 2
0 0 2 46 4
1067 22091 1 22 1
1055 31234 2 23 0
1359 36632 2 19 0
2040 79597 3 23 1
1672 98850 3 56 0
701 50211 2 54 2
1289 64976 2 48 1
1145 39364 3 22 0
0 0 2 59 8
0 0 2 49 5
308 19424 2 30 1
335 73025 2 48 4
1537 34780 2 28 0
0 0 2 43 10
386 28458 1 36 2
0 0 1 54 3
2007 65136 2 22 0
455 21792 2 32 1
2359 72921 2 18 0
0 0 2 30 4
0 0 2 26 2
0 0 2 57 2
704 15240 2 22 1
1161 59251 2 57 1
944 21865 1 29 2
1854 88380 2 57 0
615 4612 1 20 0
847 21389 2 23 0
810 25178 2 23 1
0 0 1 25 0
1037 60854 2 34 2
1422 52885 2 23 2
948 38475 2 47 1
1515 51645 2 32 1
1151 63210 2 53 1
1671 22354 2 25 0
1387 71435 3 48 0
1728 80130 3 36 2
0 0 2 46 4
0 0 1 38 2
872 650 2 22 0
1934 105129 3 56 0
529 79095 1 48 2
256 27090 2 52 0
0 0 2 51 9
0 0 1 39 3
0 0 2 50 5
1779 58006 3 19 0
0 0 1 48 5
0 0 1 57 1
2103 101901 3 53 0
0 0 2 51 2
0 0 1 26 1
2029 82154 3 56 0
2029 82154 3 56 0
2029 82154 3 56 0
2094 102359 3 54 0
0 0 3 19 2
0 0 1 19 2
0 0 3 51 7
0 0 3 49 5
0 0 2 50 7
1775 80805 3 30 1
0 0 2 18 2
1985 95756 2 51 0
0 0 1 33 3
0 0 1 57 2
2283 126184 3 55 0
2283 126184 3 55 0
2283 126184 3 55 0
0 0 3 31 3
1794 53827 3 33 0
1794 53827 3 33 0
1896 75811 2 57 0
0 0 1 49 1
0 0 2 31 1
0 0 1 36 3
0 0 1 37 2
0 0 2 49 9
2264 55610 2 29 0
0 0 1 37 4
1954 78140 3 57 0
1954 78140 3 57 0
1954 78140 3 57 0
0 0 2 54 3
0 0 3 41 7
0 0 1 26 3
0 0 2 22 2
0 0 2 54 0
0 0 1 20 1
1795 55305 3 28 1
1987 79358 2 56 0
1987 79358 2 56 0
0 0 1 21 3
0 0 2 37 7
0 0 3 20 1
1805 72220 3 55 0
0 0 1 30 2
0 0 2 57 3
1716 48078 3 22 0
0 0 2 37 2
2222 96286 3 57 0
2222 96286 3 57 0
0 0 2 30 1
0 0 2 25 4
1942 84033 3 53 0
1864 57043 3 32 0
1864 57043 3 32 0
1864 57043 3 32 0
0 0 2 41 3
1983 48708 3 26 0
2275 52685 3 27 0
2061 111407 3 55 1
1734 70489 3 24 2
1734 70489 3 24 2
2224 125195 3 50 0
2201 120517 3 32 3
0 0 2 30 4
0 0 2 33 5
2175 114107 3 53 1
1750 101650 2 57 1
1750 101650 2 57 1
0 0 1 49 0
0 0 2 52 1
1860 100439 3 57 0
2257 120930 2 49 0
2257 120930 2 49 0
0 0 1 23 1
2191 62417 3 19 0
2191 62417 3 19 0
0 0 2 50 5
0 0 1 51 1
0 0 1 29 1
0 0 1 23 2
0 0 1 25 2
1772 139995 2 49 3
2006 106583 3 40 2
2056 114514 3 54 1
0 0 2 20 3
0 0 1 35 4
0 0 1 55 3
1907 63923 2 24 1
1907 63923 2 24 1
0 0 1 33 5
0 0 1 33 3
0 0 1 24 2
0 0 2 34 3
0 0 2 47 1
2095 90619 2 51 0
0 0 1 39 5
0 0 1 40 1
2044 63048 3 26 0
0 0 1 36 4
0 0 2 35 4
2266 50349 3 18 0
2266 50349 3 18 0
0 0 2 30 3
2125 59097 3 22 0
1855 35679 3 20 0
1855 35679 3 20 0
1855 35679 3 20 0
0 0 2 39 5
0 0 1 51 0
0 0 1 33 1
0 0 2 43 6
0 0 1 22 0
1903 68532 2 27 1
1832 70254 3 24 0
1989 95176 3 29 1
1989 95176 3 29 1
1804 87164 2 51 0
1804 87164 2 51 0
1804 87164 2 51 0
2263 77205 3 27 0
1819 97977 3 46 1
1819 97977 3 46 1
1724 84036 2 51 0
1724 84036 2 51 0
1724 84036 2 51 0
1925 38436 2 32 0
1925 38436 2 32 0
0 0 2 39 5
1781 57735 3 23 0
2093 60319 3 25 0
2093 60319 3 25 0
1915 56426 3 30 0
0 0 2 52 3
1993 59209 3 25 0
1993 59209 3 25 0
0 0 2 64 13
2067 99381 2 54 0
2067 99381 2 54 0
2067 99381 2 54 0
0 0 2 22 3
2276 132077 3 58 2
2276 132077 3 58 2
0 0 2 30 3
1839 99765 2 50 0
1839 99765 2 50 0
0 0 2 32 4
1818 51864 3 19 0
1818 51864 3 19 0
1983 57167 2 27 1
1808 44446 3 18 0
1808 44446 3 18 0
1808 44446 3 18 0
2137 81471 3 26 0
2137 81471 3 26 0
0 0 3 37 7
0 0 3 48 4
0 0 2 49 1
1820 92897 3 52 0
1820 92897 3 52 0
1759 49948 3 25 0
0 0 2 42 2
2007 59989 3 34 0
2007 59989 3 34 0
0 0 2 37 4
1831 83547 2 57 1
1831 83547 2 57 1
1733 90503 3 21 2
0 0 2 55 2
1727 70678 3 56 0
0 0 1 48 4
0 0 2 23 0
2250 59659 2 25 0
0 0 1 46 1
0 0 2 41 6
0 0 2 28 1
0 0 1 25 2
0 0 2 32 4
1805 67045 2 22 0
1805 67045 2 22 0
1783 104511 3 54 1
0 0 1 28 4
0 0 2 26 5
0 0 2 42 7
0 0 2 21 7
1858 86098 3 54 0
1858 86098 3 54 0
1880 82857 3 54 0
1880 82857 3 54 0
1741 44501 3 18 0
1741 44501 3 18 0
1741 44501 3 18 0
2263 76148 3 26 0
2263 76148 3 26 0
2263 76148 3 26 0
1756 52500 3 26 1
1756 52500 3 26 1
0 0 2 25 0
0 0 3 51 4
0 0 1 46 3
1893 56211 3 24 0
0 0 1 23 1
0 0 1 31 0
0 0 1 26 2
1881 57128 2 26 0
1982 117762 3 51 1
1982 117762 3 51 1
0 0 1 56 1
1832 60452 3 26 0
0 0 3 43 6
0 0 1 53 1
0 0 2 32 3
2016 71233 3 18 0
0 0 2 45 4
1864 66154 3 23 1
1864 66154 3 23 1
0 0 1 46 1
2238 75821 2 23 0
2238 75821 2 23 0
0 0 2 46 1
1929 54707 2 20 0
1929 54707 2 20 0
0 0 1 25 4
0 0 2 35 5
2181 76836 3 27 0
2181 76836 3 27 0
2041 72638 3 30 1
0 0 2 19 2
0 0 2 30 2
0 0 2 21 2
2145 107027 3 50 0
2145 107027 3 50 0
0 0 1 27 2
0 0 3 34 6
1870 82923 2 55 0
1870 82923 2 55 0
1786 60111 2 25 0
0 0 3 51 3
2253 88453 2 26 0
2253 88453 2 26 0
0 0 1 27 1
2093 83661 3 28 1
1956 97241 2 50 0
1956 97241 2 50 0
1893 49047 2 26 0
1893 49047 2 26 0
2149 103299 3 55 0
2149 103299 3 55 0
0 0 2 39 5
2007 126749 3 52 1
2073 78417 2 25 1
1807 42678 3 27 1
1807 42678 3 27 1
0 0 1 21 1
2008 124124 3 55 0
2008 124124 3 55 0
2008 124124 3 55 0
1983 111992 3 56 0
1983 111992 3 56 0
0 0 2 51 6
2060 83704 3 54 0
0 0 2 32 3
1824 64913 3 27 0
1771 102552 3 55 1
0 0 2 41 4
1963 57962 2 27 0
1963 57962 2 27 0
0 0 2 27 3
1942 75709 2 25 0
1942 75709 2 25 0
1879 78946 3 36 0
1879 78946 3 36 0
0 0 2 35 6
1943 113663 3 57 2
2198 107780 2 54 0
2198 107780 2 54 0
1837 109866 3 57 1
0 0 2 31 5
0 0 2 41 6
0 0 1 49 5
1919 80642 3 26 1
1919 80642 3 26 1
0 0 2 33 2
0 0 2 24 0
0 0 1 55 0
0 0 2 46 6
1812 87082 2 53 0
1958 70716 2 23 0
1958 70716 2 23 0
0 0 1 56 2
0 0 2 38 8
0 0 3 38 2
0 0 1 52 3
2023 118544 3 48 0
2023 118544 3 48 0
2089 92014 2 50 1
0 0 2 48 8
0 0 2 47 10
0 0 3 61 9
0 0 2 30 3
0 0 1 33 0
0 0 2 26 6
1803 39841 2 18 0
1803 39841 2 18 0
1762 90310 3 55 1
1762 90310 3 55 1
1762 90310 3 55 1
2069 118487 3 49 0
2019 83588 3 23 1
2019 83588 3 23 1
1825 93048 3 51 0
1983 83462 3 33 0
1983 83462 3 33 0
1951 54042 2 35 0
1951 54042 2 35 0
0 0 1 38 1
0 0 2 39 3
1734 112826 2 49 0
1734 112826 2 49 0
0 0 2 31 5
1770 49116 3 28 0
0 0 1 42 5
0 0 3 37 6
0 0 3 27 2
0 0 1 20 2
0 0 2 26 1
2033 64375 3 26 0
0 0 1 29 2
0 0 1 49 0
0 0 3 50 7
2163 56064 3 20 0
2163 56064 3 20 0
1790 38458 2 23 0
2225 67955 2 25 0
2219 56777 3 21 0
2127 70408 3 21 0
2127 70408 3 21 0
1864 118074 3 32 3
1864 118074 3 32 3
0 0 2 46 2
2015 70912 3 26 0
2015 70912 3 26 0
0 0 2 28 5
1919 111616 3 25 3
2140 70960 3 28 0
2140 70960 3 28 0
2082 107577 3 52 1
1933 120944 3 48 1
0 0 1 35 4
0 0 2 34 4
0 0 1 24 1
2010 105020 3 49 0
0 0 1 54 2
0 0 3 37 7
2207 77010 2 18 0
2207 77010 2 18 0
2116 50615 1 26 0
2116 50615 1 26 0
2116 50615 1 26 0
0 0 1 32 6
1728 76332 3 26 1
1769 48151 2 18 0
1823 57734 2 26 1
0 0 1 27 0
1895 50925 3 21 0
1895 50925 3 21 0
1895 50925 3 21 0
1730 33271 2 20 0
1727 59436 3 36 0
1727 59436 3 36 0
0 0 2 24 3
0 0 1 48 1
0 0 2 46 7
0 0 2 56 2
0 0 1 23 0
2252 110964 3 39 0
0 0 1 41 3
0 0 2 46 4
0 0 2 32 6
0 0 2 30 2
2040 79597 3 23 1
2040 79597 3 23 1
2040 79597 3 23 1
0 0 2 51 0
0 0 2 49 5
2007 65136 2 22 0
2007 65136 2 22 0
1911 44229 2 18 0
0 0 2 30 4
1854 88380 2 57 0
1818 58993 3 19 1
1818 58993 3 19 1
1818 58993 3 19 1
2149 97993 3 28 2
2149 97993 3 28 2
2149 97993 3 28 2
2149 97993 3 28 2
1908 80410 3 57 0
1908 80410 3 57 0
1906 94856 3 46 0
0 0 1 25 2
0 0 1 30 9
0 0 2 46 4
0 0 1 27 4
1934 105129 3 56 0
1934 105129 3 56 0
0 0 1 56 0
0 0 1 48 3
2052 102247 3 56 0
2053 101037 3 26 0
2053 101037 3 26 0
